"比賽代號","20260706-DL8B"
"開始時間","07/06 上午10:45"
"匯出時間","07/06 上午11:11"

"─── 積分排行榜 ───"
"名次","選手","勝","敗","場數","勝率"
"1","5","3","0","3","100%"
"2","9","3","0","3","100%"
"3","4","2","1","3","67%"
"4","Yang","2","1","3","67%"
"5","1","1","1","2","50%"
"6","3","1","1","2","50%"
"7","6","1","1","2","50%"
"8","7","1","1","2","50%"
"9","55","1","1","2","50%"
"10","Lily","1","1","2","50%"
"11","2","0","2","2","0%"
"12","8","0","2","2","0%"
"13","66","0","1","1","0%"
"14","44","0","1","1","0%"
"15","33","0","1","1","0%"
"16","22","0","1","1","0%"

"─── 比賽歷史記錄 ───"
"場次","場地","隊A選手1","隊A選手2","隊B選手1","隊B選手2","勝隊","開始時間","結束時間"
"1","1","1","2","3","4","3+4","07/06 上午10:49","07/06 上午10:49"
"2","2","5","6","7","8","5+6","07/06 上午10:49","07/06 上午10:49"
"3","1","9","55","66","44","9+55","07/06 上午10:49","07/06 上午10:49"
"4","2","33","22","Lily","Yang","Lily+Yang","07/06 上午10:49","07/06 上午10:49"
"5","1","3","6","4","5","4+5","07/06 上午10:49","07/06 上午10:49"
"6","2","9","Yang","55","Lily","9+Yang","07/06 上午10:49","07/06 上午10:49"
"7","1","4","Yang","5","9","5+9","07/06 上午11:10","07/06 上午11:10"
"8","2","1","7","2","8","1+7","07/06 上午11:10","07/06 上午11:10"
